Edit,Action
Can you slow down this clip to x0.8 for a more contemplative mood?,slow
I need to speed up this video by x3.5 for a high-speed effect.,Speed
Can you increase the playback speed of this video by x2?,Speed
"The video is too long, can you speed it up by x1.5?",Speed
Can you slow down the video by x0.75 please?,slow
"I want to watch this video in slow motion, can you slow it down by x0.25?",slow
Please speed up this part of the video from 1:20 to 1:40 by x2.,Speed
Can you slow down the audio track in this video by x0.5?,slow
"I want to make this video 10 minutes long, can you speed it up by x2.5?",Speed
Please slow down the playback speed of this video from 2:30 to 2:40 by x0.75.,Speed
"Can you speed up this video by x4, but only for the first minute?",Speed
"I want to watch this part of the video in slow motion, can you slow it down by x0.5?",slow
"Please speed up the video by x2, but only for the part where I'm talking.",Speed
Can you slow down the video by x0.8 and add some background music?,slow
"I want to speed up the video by x1.25, but keep the audio at normal speed.",Speed
"Please slow down this part of the video by x0.5, it's too fast.",faster
Can you speed up the video by x2.5 and add some text captions?,Speed
"I want to watch this video in slow motion, can you slow it down by x0.3?",slow
Please speed up the video by x1.5 and remove the background noise.,Speed
Can you slow down the video by x0.6 and add some sound effects?,slow
"I want to speed up the video by x3, but only for the action scenes.",Speed
Please slow down the video by x0.4 and add some color correction.,slow
Can you speed up the video by x2.5 and add some transitions?,Speed
"I want to watch this video in slow motion, can you slow it down by x0.1?",slow
"Please speed up this part of the video by x4, it's too slow.",Speed
Can you slow down the video by x0.9 and add some voiceover narration?,slow
"I want to speed up the video by x2, but only for the dance sequences.",Speed
Please slow down the video by x0.7 and add some visual effects.,slow
Can you speed up the video by x1.75 and add some background footage?,Speed
"I want to watch this video in slow motion, can you slow it down by x0.2?",slow
Please speed up the video by x2.5 and remove the watermark.,Speed
Can you slow down the video by x0.8 and add some subtitles?,slow
"Can you insert the text ""hello world"" in red with a small size at the center of the clip from second 2 to 4?",Text
"Add the text ""hello world"" in red with a small size at the center of the video between second 2 and 4.",Text
"Place the text ""hello world"" in the center of the video between the 2nd and 4th second in red color and small size.",Text
"Can you please add a text that says ""hello world"" with a red color and small font size at the center of the clip from second 2 to 4?",Text
"Insert the text ""hello world"" at the center of the video between second 2 and 4 in red color and small size.",Text
"Can you put a text that says ""hello world"" in red color and small font size at the center of the clip from second 2 to 4?",Text
"Add the text ""hello world"" in red color and small size at the center of the video between second 2 to 4.",Text
"Could you please insert the text ""hello world"" in red color and small font size at the center of the clip between second 2 to 4?",Text
"Place a text that says ""hello world"" with a red color and small size at the center of the clip from second 2 to 4.",Text
"I would like to add a text ""hello world"" in red color and small font size at the center of the video between second 2 to 4.",Text
"Can you put the text ""hello world"" in red with small font size at the center of the clip from second 2 to 4?",Text
"Add the text ""hello world"" at the center of the video between second 2 and 4 in red color and small size.",Text
"Could you please insert the text ""hello world"" in red color and small font size at the center of the clip from second 2 to 4?",Text
"Can you add a text with red color and small size saying ""hello world"" in the center of the clip from second 2 to 4?",Text
"Put the text ""hello world"" in red color and small size at the center of the video between second 2 and 4.",Text
"Please add a text ""hello world"" in red color and small size at the center of the clip between second 2 to 4.",Text
"Add a text that says ""hello world"" with a red color and small size at the center of the video between second 2 and 4.",Text
"Could you please insert a text that says ""hello world"" in red color and small size at the center of the clip from second 2 to 4?",Text
"I want to add a text ""hello world"" in red color and small font size at the center of the clip from second 2 to 4.",Text
"Can you put a text ""hello world"" in the center of the clip from second 2 to 4 with red color and small size?",Text
"Can you insert a ""hello world"" text with red color and small size in the center of the clip between seconds 2 and 4?",Text
"Add a text layer saying ""hello world"" in red with small font size at the center of the clip starting from second 2 till second 4.",Text
"Place a small red ""hello world"" text in the middle of the video between second 2 and second 4.",Text
"Could you create a red text ""hello world"" in the center of the clip starting from second 2 and ending at second 4?",Text
"Please add a small red text ""hello world"" in the center of the video from 2 seconds to 4 seconds.",Text
"Insert a ""hello world"" text with red color and small size in the center of the clip between seconds 2 and 4, please.",Text
"Add a small text ""hello world"" in red color and with small font size at the center of the clip between seconds 2 and 4.",Text
"Can you put a ""hello world"" text in red color and small size at the center of the clip from second 2 to second 4?",Text
"Could you add a small red ""hello world"" text at the center of the clip from second 2 to second 4?",Text
"Place a red text ""hello world"" with small font size in the center of the clip from second 2 to second 4.",Text
"Please insert a red ""hello world"" text with small font size in the center of the clip between seconds 2 and 4.",Text
"Could you put a small red text ""hello world"" in the center of the clip from second 2 to second 4?",Text
"Add a ""hello world"" text in red color and small size at the center of the clip between seconds 2 and 4, please.",Text
"Can you add a small red text ""hello world"" at the center of the clip from second 2 to second 4?",Text
"Could you create a small red ""hello world"" text at the center of the clip starting from second 2 and ending at second 4?",Text
"Please insert a red ""hello world"" text with small font size in the center of the video from 2 to 4 seconds.",Text
"Add a small text ""hello world"" in red color with small font size at the center of the clip between seconds 2 and 4.",Text
"Place a red ""hello world"" text with small font size in the center of the clip between seconds 2 and 4.",Text
"Could you put a small red ""hello world"" text in the center of the video from 2 to 4 seconds?",Text
"Add a ""hello world"" text in red color with small font size in the center of the video between seconds 2 and 4.",Text
"Please create a small red text ""hello world"" in the center of the clip from second 2 to second 4.",Text
"Insert a red ""hello world"" text with small font size in the center of the video between seconds 2 and 4, please.",Text
"Can you add a small red text ""hello world"" with small font size in the center of the video from 2 to 4 seconds?",Text
"Place a ""hello world"" text in red color with small font size at the center of the clip from second 2 to second 4.",Text
"Could you put a small red text ""hello world"" with small font size in the center of the clip between seconds 2 and 4?",Text
"Add a small text ""hello world"" in red color",Text
"Can you insert the text ""hello world"" in red and small font size in the middle of the clip from second 2 to 4?",Text
"Add the text ""hello world"" in small size and red color in the center of the video clip from second 2 to 4.",Text
"Please include the text ""hello world"" with red color and small size at the center of the clip from second 2 to 4.",Text
"Can you place the text ""hello world"" at the center of the clip with red color and small font size for the duration from second 2 to 4?",Text
"Add a red text ""hello world"" with a small font size in the center of the video from second 2 to 4.",Text
"I want to add text ""hello world"" in red color and small font size at the center of the clip from second 2 to 4.",Text
"Place the text ""hello world"" in the center of the clip with red color and small font size from second 2 to 4.",Text
"Please insert the text ""hello world"" in red color and small size at the center of the clip for the duration of second 2 to 4.",Text
"Can you add the text ""hello world"" in red color and small font size in the middle of the clip from second 2 to 4?",Text
"I need you to include the text ""hello world"" with red color and small size in the center of the clip from second 2 to 4.",Text
"Add the text ""hello world"" in small size and red color at the center of the video clip from second 2 to 4.",Text
"Please insert the text ""hello world"" with red color and small font size in the middle of the clip from second 2 to 4.",Text
"Can you add a red text ""hello world"" with a small font size in the center of the video for the duration of second 2 to 4?",Text
"I want you to place the text ""hello world"" at the center of the clip with red color and small font size from second 2 to 4.",Text
"Please add the text ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Text
"Can you include the text ""hello world"" with red color and small size at the center of the clip from second 2 to 4?",Text
"Add a small text ""hello world"" in red color at the center of the video clip from second 2 to 4.",Text
"Place the text ""hello world"" with red color and small font size in the center of the clip for the duration of second 2 to 4.",Text
"I need you to insert the text ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Text
"Can you add a text ""hello world"" in red color and small size in the center of the clip from second 2 to 4?",Text
"Can you insert the sentence ""hello world"" in green with a small size at the top of the clip from second 2 to 4?",Sentence
"Add the sentence ""hello world"" in green with a small size at the top of the video between second 2 and 4.",Sentence
"Place the sentence ""hello world"" in the top of the video between the 2nd and 4th second in green color and small size.",Sentence
"Can you please add a sentence that says ""hello world"" with a green color and small font size at the top of the clip from second 2 to 4?",Sentence
"Insert the sentence ""hello world"" at the top of the video between second 2 and 4 in green color and small size.",Sentence
"Can you put a sentence that says ""hello world"" in green color and small font size at the top of the clip from second 2 to 4?",Sentence
"Add the sentence ""hello world"" in green color and small size at the top of the video between second 2 to 4.",Sentence
"Could you please insert the sentence ""hello world"" in blue color and small font size at the top of the clip between second 2 to 4?",Sentence
"Place a sentence that says ""hello world"" with a red color and small size at the top of the clip from second 2 to 4.",Sentence
"I would like to add a sentence ""hello world"" in red color and small font size at the top of the video between second 2 to 4.",Sentence
"Can you put the sentence ""hello world"" in red with small font size at the top of the clip from second 2 to 4?",Sentence
"Add the sentence ""hello world"" at the top of the video between second 2 and 4 in red color and small size.",Sentence
"Could you please insert the sentence ""hello world"" in red color and small font size at the top of the clip from second 2 to 4?",Sentence
"Can you add a sentence with red color and small size saying ""hello world"" in the top of the clip from second 2 to 4?",Sentence
"Put the sentence ""hello world"" in red color and small size at the top of the video between second 2 and 4.",Sentence
"Please add a sentence ""hello world"" in red color and small size at the top of the clip between second 2 to 4.",Sentence
"Add a sentence that says ""hello world"" with a blue color and small size at the top of the video between second 2 and 4.",Sentence
"Could you please insert a sentence that says ""hello world"" in red color and small size at the top of the clip from second 2 to 4?",Sentence
"I want to add a sentence ""hello world"" in red color and small font size at the top of the clip from second 2 to 4.",Sentence
"Can you put a sentence ""hello world"" in the top of the clip from second 2 to 4 with red color and small size?",Sentence
"Can you insert a ""hello world"" sentence with yellow color and small size in the top of the clip between seconds 2 and 4?",Sentence
"Add a sentence layer saying ""hello world"" in brown with small font size at the top of the clip starting from second 2 till second 4.",Sentence
"Place a small red ""hello world"" sentence in the middle of the video between second 2 and second 4.",Sentence
"Could you create a brown sentence ""hello world"" in the top of the clip starting from second 2 and ending at second 4?",Sentence
"Please add a small red sentence ""hello world"" in the top of the video from 2 seconds to 4 seconds.",Sentence
"Insert a ""hello world"" sentence with red color and small size in the top of the clip between seconds 2 and 4, please.",Sentence
"Add a small sentence ""hello world"" in red color and with small font size at the top of the clip between seconds 2 and 4.",Sentence
"Can you put a ""hello world"" sentence in red color and small size at the top of the clip from second 2 to second 4?",Sentence
"Could you add a small red ""hello world"" sentence at the top of the clip from second 2 to second 4?",Sentence
"Place a red sentence ""hello world"" with small font size in the top of the clip from second 2 to second 4.",Sentence
"Please insert a red ""hello world"" sentence with small font size in the top of the clip between seconds 2 and 4.",Sentence
"Could you put a small red sentence ""hello world"" in the top of the clip from second 2 to second 4?",Sentence
"Add a ""hello world"" sentence in black color and small size at the top of the clip between seconds 2 and 4, please.",Sentence
"Can you add a small black sentence ""hello world"" at the top of the clip from second 2 to second 4?",Sentence
"Could you create a small black ""hello world"" sentence at the top of the clip starting from second 2 and ending at second 4?",Sentence
"Please insert a red ""hello world"" sentence with small font size in the top of the video from 2 to 4 seconds.",Sentence
"Add a small sentence ""hello world"" in red color with small font size at the top of the clip between seconds 2 and 4.",Sentence
"Place a red ""hello world"" sentence with small font size in the top of the clip between seconds 2 and 4.",Sentence
"Could you put a small black ""hello world"" sentence in the top of the video from 2 to 4 seconds?",Sentence
"Add a ""hello world"" sentence in red color with small font size in the top of the video between seconds 2 and 4.",Sentence
"Please create a small red sentence ""hello world"" in the top of the clip from second 2 to second 4.",Sentence
"Insert a red ""hello world"" sentence with small font size in the top of the video between seconds 2 and 4, please.",Sentence
"Can you add a small black sentence ""hello world"" with small font size in the top of the video from 2 to 4 seconds?",Sentence
"Place a ""hello world"" sentence in red color with small font size at the top of the clip from second 2 to second 4.",Sentence
"Could you put a small black sentence ""hello world"" with small font size in the top of the clip between seconds 2 and 4?",Sentence
"Add a small sentence ""hello world"" in red color",Sentence
"Can you insert the sentence ""hello world"" in red and small font size in the middle of the clip from second 2 to 4?",Sentence
"Add the sentence ""hello world"" in small size and red color in the top of the video clip from second 2 to 4.",Sentence
"Please include the sentence ""hello world"" with red color and small size at the top of the clip from second 2 to 4.",Sentence
"Can you place the sentence ""hello world"" at the top of the clip with red color and small font size for the duration from second 2 to 4?",Sentence
"Add a red sentence ""hello world"" with a small font size in the top of the video from second 2 to 4.",Sentence
"I want to add sentence ""hello world"" in red color and small font size at the top of the clip from second 2 to 4.",Sentence
"Place the sentence ""hello world"" in the top of the clip with red color and small font size from second 2 to 4.",Sentence
"Please insert the sentence ""hello world"" in red color and small size at the top of the clip for the duration of second 2 to 4.",Sentence
"Can you add the sentence ""hello world"" in red color and small font size in the middle of the clip from second 2 to 4?",Sentence
"I need you to include the sentence ""hello world"" with red color and small size in the top of the clip from second 2 to 4.",Sentence
"Add the sentence ""hello world"" in small size and red color at the top of the video clip from second 2 to 4.",Sentence
"Please insert the sentence ""hello world"" with red color and small font size in the middle of the clip from second 2 to 4.",Sentence
"Can you add a red sentence ""hello world"" with a small font size in the top of the video for the duration of second 2 to 4?",Sentence
"I want you to place the sentence ""hello world"" at the top of the clip with red color and small font size from second 2 to 4.",Sentence
"Please add the sentence ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Sentence
"Can you include the sentence ""hello world"" with red color and small size at the top of the clip from second 2 to 4?",Sentence
"Add a small sentence ""hello world"" in red color at the top of the video clip from second 2 to 4.",Sentence
"Place the sentence ""hello world"" with red color and small font size in the top of the clip for the duration of second 2 to 4.",Sentence
"I need you to insert the sentence ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Sentence
"Can you add a sentence ""hello world"" in red color and small size in the top of the clip from second 2 to 4?",Sentence
"Can you insert the phrase ""hello world"" in red with a small size at the center of the clip from second 2 to 4?",Phrase
"Add the phrase ""hello world"" in red with a small size at the center of the video between second 2 and 4.",Phrase
"Place the phrase ""hello world"" in the center of the video between the 2nd and 4th second in red color and small size.",Phrase
"Can you please add a phrase that says ""hello world"" with a red color and small font size at the center of the clip from second 2 to 4?",Phrase
"Insert the phrase ""hello world"" at the center of the video between second 2 and 4 in red color and small size.",Phrase
"Can you put a phrase that says ""hello world"" in red color and small font size at the center of the clip from second 2 to 4?",Phrase
"Add the phrase ""hello world"" in red color and small size at the center of the video between second 2 to 4.",Phrase
"Could you please insert the phrase ""hello world"" in red color and small font size at the center of the clip between second 2 to 4?",Phrase
"Place a phrase that says ""hello world"" with a red color and small size at the center of the clip from second 2 to 4.",Phrase
"I would like to add a phrase ""hello world"" in red color and small font size at the center of the video between second 2 to 4.",Phrase
"Can you put the phrase ""hello world"" in red with small font size at the center of the clip from second 2 to 4?",Phrase
"Add the phrase ""hello world"" at the center of the video between second 2 and 4 in red color and small size.",Phrase
"Could you please insert the phrase ""hello world"" in red color and small font size at the center of the clip from second 2 to 4?",Phrase
"Can you add a phrase with red color and small size saying ""hello world"" in the center of the clip from second 2 to 4?",Phrase
"Put the phrase ""hello world"" in red color and small size at the center of the video between second 2 and 4.",Phrase
"Please add a phrase ""hello world"" in red color and small size at the center of the clip between second 2 to 4.",Phrase
"Add a phrase that says ""hello world"" with a red color and small size at the center of the video between second 2 and 4.",Phrase
"Could you please insert a phrase that says ""hello world"" in red color and small size at the center of the clip from second 2 to 4?",Phrase
"I want to add a phrase ""hello world"" in red color and small font size at the center of the clip from second 2 to 4.",Phrase
"Can you put a phrase ""hello world"" in the center of the clip from second 2 to 4 with red color and small size?",Phrase
"Can you insert a ""hello world"" phrase with red color and small size in the center of the clip between seconds 2 and 4?",Phrase
"Add a phrase layer saying ""hello world"" in red with small font size at the center of the clip starting from second 2 till second 4.",Phrase
"Place a small red ""hello world"" phrase in the middle of the video between second 2 and second 4.",Phrase
"Could you create a red phrase ""hello world"" in the center of the clip starting from second 2 and ending at second 4?",Phrase
"Please add a small red phrase ""hello world"" in the center of the video from 2 seconds to 4 seconds.",Phrase
"Insert a ""hello world"" phrase with red color and small size in the center of the clip between seconds 2 and 4, please.",Phrase
"Add a small phrase ""hello world"" in red color and with small font size at the center of the clip between seconds 2 and 4.",Phrase
"Can you put a ""hello world"" phrase in red color and small size at the center of the clip from second 2 to second 4?",Phrase
"Could you add a small red ""hello world"" phrase at the center of the clip from second 2 to second 4?",Phrase
"Place a red phrase ""hello world"" with small font size in the center of the clip from second 2 to second 4.",Phrase
"Please insert a red ""hello world"" phrase with small font size in the center of the clip between seconds 2 and 4.",Phrase
"Could you put a small red phrase ""hello world"" in the center of the clip from second 2 to second 4?",Phrase
"Add a ""hello world"" phrase in red color and small size at the center of the clip between seconds 2 and 4, please.",Phrase
"Can you add a small red phrase ""hello world"" at the center of the clip from second 2 to second 4?",Phrase
"Could you create a small red ""hello world"" phrase at the center of the clip starting from second 2 and ending at second 4?",Phrase
"Please insert a red ""hello world"" phrase with small font size in the center of the video from 2 to 4 seconds.",Phrase
"Add a small phrase ""hello world"" in red color with small font size at the center of the clip between seconds 2 and 4.",Phrase
"Place a red ""hello world"" phrase with small font size in the center of the clip between seconds 2 and 4.",Phrase
"Could you put a small red ""hello world"" phrase in the center of the video from 2 to 4 seconds?",Phrase
"Add a ""hello world"" phrase in red color with small font size in the center of the video between seconds 2 and 4.",Phrase
"Please create a small red phrase ""hello world"" in the center of the clip from second 2 to second 4.",Phrase
"Insert a red ""hello world"" phrase with small font size in the center of the video between seconds 2 and 4, please.",Phrase
"Can you add a small red phrase ""hello world"" with small font size in the center of the video from 2 to 4 seconds?",Phrase
"Place a ""hello world"" phrase in red color with small font size at the center of the clip from second 2 to second 4.",Phrase
"Could you put a small red phrase ""hello world"" with small font size in the center of the clip between seconds 2 and 4?",Phrase
"Add a small phrase ""hello world"" in red color",Phrase
"Can you insert the phrase ""hello world"" in red and small font size in the middle of the clip from second 2 to 4?",Phrase
"Add the phrase ""hello world"" in small size and red color in the center of the video clip from second 2 to 4.",Phrase
"Please include the phrase ""hello world"" with red color and small size at the center of the clip from second 2 to 4.",Phrase
"Can you place the phrase ""hello world"" at the center of the clip with red color and small font size for the duration from second 2 to 4?",Phrase
"Add a red phrase ""hello world"" with a small font size in the center of the video from second 2 to 4.",Phrase
"I want to add phrase ""hello world"" in red color and small font size at the center of the clip from second 2 to 4.",Phrase
"Place the phrase ""hello world"" in the center of the clip with red color and small font size from second 2 to 4.",Phrase
"Please insert the phrase ""hello world"" in red color and small size at the center of the clip for the duration of second 2 to 4.",Phrase
"Can you add the phrase ""hello world"" in red color and small font size in the middle of the clip from second 2 to 4?",Phrase
"I need you to include the phrase ""hello world"" with red color and small size in the center of the clip from second 2 to 4.",Phrase
"Add the phrase ""hello world"" in small size and red color at the center of the video clip from second 2 to 4.",Phrase
"Please insert the phrase ""hello world"" with red color and small font size in the middle of the clip from second 2 to 4.",Phrase
"Can you add a red phrase ""hello world"" with a small font size in the center of the video for the duration of second 2 to 4?",Phrase
"I want you to place the phrase ""hello world"" at the center of the clip with red color and small font size from second 2 to 4.",Phrase
"Please add the phrase ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Phrase
"Can you include the phrase ""hello world"" with red color and small size at the center of the clip from second 2 to 4?",Phrase
"Add a small phrase ""hello world"" in red color at the center of the video clip from second 2 to 4.",Phrase
"Place the phrase ""hello world"" with red color and small font size in the center of the clip for the duration of second 2 to 4.",Phrase
"I need you to insert the phrase ""hello world"" in the middle of the clip with red color and small font size for the duration of second 2 to 4.",Phrase
"Can you add a phrase ""hello world"" in red color and small size in the center of the clip from second 2 to 4?",Phrase
"Can you insert the quote ""hello world"" in red with a small size at the bottom  of the clip from second 2 to 4?",Quote
"Add the quote ""hello world"" in red with a small size at the bottom  of the video between second 2 and 4.",Quote
"Place the quote ""hello world"" in the bottom  of the video between the 2nd and 4th second in red color and small size.",Quote
"Can you please add a quote that says ""hello world"" with a red color and small font size at the bottom  of the clip from second 2 to 4?",Quote
"Insert the quote ""hello world"" at the bottom  of the video between second 2 and 4 in red color and small size.",Quote
"Can you put a quote that says ""hello world"" in red color and small font size at the bottom  of the clip from second 2 to 4?",Quote
"Add the quote ""hello world"" in red color and small size at the bottom  of the video between second 2 to 4.",Quote
"Could you please insert the quote ""hello world"" in red color and small font size at the bottom  of the clip between second 2 to 4?",Quote
"Place a quote that says ""hello world"" with a red color and small size at the bottom  of the clip from second 2 to 4.",Quote
"I would like to add a quote ""hello world"" in red color and small font size at the bottom  of the video between second 2 to 4.",Quote
"Can you put the quote ""hello world"" in red with small font size at the bottom  of the clip from second 2 to 4?",Quote
"Add the quote ""hello world"" at the bottom  of the video between second 2 and 4 in yellow color and small size.",Quote
"Could you please insert the quote ""hello world"" in yellow color and small font size at the bottom  of the clip from second 2 to 4?",Quote
"Can you add a quote with yellow color and small size saying ""hello world"" in the bottom  of the clip from second 2 to 4?",Quote
"Put the quote ""hello world"" in yellow color and small size at the bottom  of the video between second 2 and 4.",Quote
"Please add a quote ""hello world"" in yellow color and small size at the bottom  of the clip between second 2 to 4.",Quote
"Add a quote that says ""hello world"" with a brown color and small size at the bottom  of the video between second 2 and 4.",Quote
"Could you please insert a quote that says ""hello world"" in brown color and small size at the bottom  of the clip from second 2 to 4?",Quote
"I want to add a quote ""hello world"" in brown color and small font size at the bottom  of the clip from second 2 to 4.",Quote
"Can you put a quote ""hello world"" in the bottom  of the clip from second 2 to 4 with brown color and small size?",Quote
"Can you insert a ""hello world"" quote with brown color and small size in the bottom  of the clip between seconds 2 and 4?",Quote
"Add a quote layer saying ""hello world"" in red with small font size at the bottom  of the clip starting from second 2 till second 4.",Quote
"Place a small red ""hello world"" quote in the middle of the video between second 2 and second 4.",Quote
"Could you create a red quote ""hello world"" in the bottom  of the clip starting from second 2 and ending at second 4?",Quote
"Please add a small red quote ""hello world"" in the bottom  of the video from 2 seconds to 4 seconds.",Quote
"Insert a ""hello world"" quote with red color and small size in the bottom  of the clip between seconds 2 and 4, please.",Quote
"Add a small quote ""hello world"" in red color and with small font size at the bottom  of the clip between seconds 2 and 4.",Quote
"Can you put a ""hello world"" quote in red color and small size at the bottom  of the clip from second 2 to second 4?",Quote
"Could you add a small red ""hello world"" quote at the bottom  of the clip from second 2 to second 4?",Quote
"Place a red quote ""hello world"" with small font size in the bottom  of the clip from second 2 to second 4.",Quote
"Please insert a red ""hello world"" quote with small font size in the bottom  of the clip between seconds 2 and 4.",Quote
"Could you put a small red quote ""hello world"" in the bottom  of the clip from second 2 to second 4?",Quote
"Add a ""hello world"" quote in red color and small size at the bottom  of the clip between seconds 2 and 4, please.",Quote
"Can you add a small red quote ""hello world"" at the bottom  of the clip from second 2 to second 4?",Quote
"Could you create a small red ""hello world"" quote at the bottom  of the clip starting from second 2 and ending at second 4?",Quote
"Please insert a red ""hello world"" quote with small font size in the bottom  of the video from 2 to 4 seconds.",Quote
"Add a small quote ""hello world"" in red color with small font size at the bottom  of the clip between seconds 2 and 4.",Quote
"Place a red ""hello world"" quote with small font size in the bottom  of the clip between seconds 2 and 4.",Quote
"Could you put a small red ""hello world"" quote in the bottom  of the video from 2 to 4 seconds?",Quote
"Add a ""hello world"" quote in red color with small font size in the bottom  of the video between seconds 2 and 4.",Quote
"Please create a small red quote ""hello world"" in the bottom  of the clip from second 2 to second 4.",Quote
"Insert a red ""hello world"" quote with small font size in the bottom  of the video between seconds 2 and 4, please.",Quote
"Can you add a small red quote ""hello world"" with small font size in the bottom  of the video from 2 to 4 seconds?",Quote
"Place a ""hello world"" quote in red color with small font size at the bottom  of the clip from second 2 to second 4.",Quote
"Could you put a small red quote ""hello world"" with small font size in the bottom  of the clip between seconds 2 and 4?",Quote
"Add a small quote ""hello world"" in red color",Quote
"Can you insert the quote ""hello world"" in red and small font size in the middle of the clip from second 2 to 4?",Quote
"Add the quote ""hello world"" in small size and red color in the bottom  of the video clip from second 2 to 4.",Quote
"Please include the quote ""hello world"" with red color and small size at the bottom  of the clip from second 2 to 4.",Quote
"Can you place the quote ""hello world"" at the bottom  of the clip with red color and small font size for the duration from second 2 to 4?",Quote
"Add a red quote ""hello world"" with a small font size in the bottom  of the video from second 2 to 4.",Quote
