Edit,Action
Can you slow down this clip to x0.8 for a more contemplative mood?,slow
I need to speed up this video by x3.5 for a high-speed effect.,Speed
Can you increase the playback speed of this video by x2?,Speed
"The video is too long, can you speed it up by x1.5?",Speed
Can you slow down the video by x0.75 please?,slow
"I want to watch this video in slow motion, can you slow it down by x0.25?",slow
Please speed up this part of the video from 1:20 to 1:40 by x2.,Speed
Can you slow down the audio track in this video by x0.5?,slow
"I want to make this video 10 minutes long, can you speed it up by x2.5?",Speed
Please slow down the playback speed of this video from 2:30 to 2:40 by x0.75.,Speed
"Can you speed up this video by x4, but only for the first minute?",Speed
"I want to watch this part of the video in slow motion, can you slow it down by x0.5?",slow
"Please speed up the video by x2, but only for the part where I'm talking.",Speed
Can you slow down the video by x0.8 and add some background music?,slow
"I want to speed up the video by x1.25, but keep the audio at normal speed.",Speed
"Please slow down this part of the video by x0.5, it's too fast.",faster
Can you speed up the video by x2.5 and add some text captions?,Speed
"I want to watch this video in slow motion, can you slow it down by x0.3?",slow
Please speed up the video by x1.5 and remove the background noise.,Speed
Can you slow down the video by x0.6 and add some sound effects?,slow
"I want to speed up the video by x3, but only for the action scenes.",Speed
Please slow down the video by x0.4 and add some color correction.,slow
Can you speed up the video by x2.5 and add some transitions?,Speed
"I want to watch this video in slow motion, can you slow it down by x0.1?",slow
"Please speed up this part of the video by x4, it's too slow.",Speed
Can you slow down the video by x0.9 and add some voiceover narration?,slow
"I want to speed up the video by x2, but only for the dance sequences.",Speed
Please slow down the video by x0.7 and add some visual effects.,slow
Can you speed up the video by x1.75 and add some background footage?,Speed
"I want to watch this video in slow motion, can you slow it down by x0.2?",slow
Please speed up the video by x2.5 and remove the watermark.,Speed
Can you slow down the video by x0.8 and add some subtitles?,slow
